﻿﻿"Time","__name__","activity_factor","agent_id","average_daily_volume","average_roundtrip_volume","base_balance","base_collateral","base_loan","combined_score","exported_netuid","gentrx_score","hotkey","id","instance","inventory_value","inventory_value_change","job","kappa","kappa_penalty","kappa_score","min_daily_volume","min_roundtrip_volume","miner_gauge_name","netuid","placement","pnl","pnl_change","pnl_factor","pnl_score","quote_balance","quote_collateral","quote_loan","score","sim_id","task","total_daily_volume","total_realized_pnl","total_roundtrip_volume","unnormalized_score","wallet","Value"
2026-06-19 07:03:40.000,miners,0,26,7160,2272,9383,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-256,-12.8,bittensor,None,None,None,0,0,miners,79,237,-256,-12.8,1,None,3598064,0,0,1.8e-14,20260614_1422,validator_metrics,916485,586,290756,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,33,0,0,8113,0,0,0,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-96471,-5.44,bittensor,None,0,0,0,0,miners,79,248,-46561,-5.44,1,0,3966210,0,0,0,20260614_1422,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,58,0,0,8199,0,0,0,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-99664,-8.86,bittensor,None,0,0,0,0,miners,79,250,-49268,-8.86,1,0,3940303,0,0,0,20260614_1422,validator_metrics,0,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,72,19878,7347,8249,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,5681,-4.51,bittensor,None,None,None,10308,5107,miners,79,245,5681,-4.51,1,None,3927126,0,0,6.72e-17,20260614_1422,validator_metrics,2544385,-391,940443,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,74,15326,7226,7832,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,7833,-8.30,bittensor,None,None,None,5906,2812,miners,79,247,7833,-8.30,1,None,4043935,0,0,6.79e-22,20260614_1422,validator_metrics,1961724,-165,924908,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,79,33685,10696,13914,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,17536,-11.6,bittensor,None,None,None,8421,0,miners,79,224,17536,-11.6,1,None,2303450,0,0,7.68e-13,20260614_1422,validator_metrics,4311657,4960,1369086,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,84,288,0,8295,8.21,12.6,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,1284,-1.70,bittensor,None,None,None,0,0,miners,79,252,1284,-1.70,1,None,3921038,13381,19563,0,20260614_1422,validator_metrics,36890,0,0,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0,93,18026,8445,7870,0,0,None,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,11595,-7.21,bittensor,None,None,None,8580,3347,miners,79,246,11595,-7.21,1,None,4030986,0,0,9.6e-20,20260614_1422,validator_metrics,2307391,-424,1080965,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0.352,66,460236,226643,6977,0,0,0,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,-131751,-8.41,bittensor,-0.0271,0,0,112085,50247,miners,79,251,-131751,-8.41,1,-2.2e-9,4132799,0,0,0,20260614_1422,validator_metrics,58910221,-157197,29010286,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
2026-06-19 07:03:40.000,miners,0.430,49,78191,36256,9460,0,0,2.77e-12,79,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,0,84.32.70.8:9001,6144,-18.1,bittensor,0.0101,0,0,48911,21572,miners,79,227,6144,-18.1,1,1.32e-11,3557897,0,0,2.3e-13,20260614_1422,validator_metrics,10008472,-1583,4640718,0,5EWwdZB7qCCMaAso5Mzcks4UUcPxKYvpAj32t5Mg1v6HSxoF,1.00
